
 STAID, SOUID,    DATE,   TG, Q_TG
  7012,142184,19930110,   26,    0
  7012,142184,19930111,   31,    0
  7012,142184,19930112,   20,    0
  7012,142184,19930113,   21,    0
  7012,142184,19930114,   18,    0
  7012,142184,19930115,   18,    0
  7012,142184,19930116,   24,    0
  7012,142184,19930117,   25,    0
  7012,142184,19930118,   36,    0
  7012,142184,19930119,    1,    0
  7012,142184,19930120,   -7,    0
  7012,142184,19930121,   24,    0
  7012,142184,19930122,   27,    0
  7012,142184,19930123,    0,    0
  7012,142184,19930124,  -33,    0
  7012,142184,19930125,  -31,    0
  7012,142184,19930126,  -50,    0
  7012,142184,19930127,  -86,    0
  7012,142184,19930128,  -98,    0
  7012,142184,19930129,  -99,    0
  7012,142184,19930130,  -35,    0
  7012,142184,19930131,    0,    0
  7012,142184,19930201,   15,    0
  7012,142184,19930202,   17,    0
  7012,142184,19930203,   11,    0
  7012,142184,19930204,-9999,    9
  7012,142184,19930205,    6,    0
  7012,142184,19930206,   -6,    0
  7012,142184,19930207,  -18,    0
  7012,142184,19930208,   18,    0
  7012,142184,19930209,   23,    0
  7012,142184,19930210,   -9,    0
  7012,142184,19930211,   -1,    0
  7012,142184,19930212,    7,    0
  7012,142184,19930213,    6,    0
  7012,142184,19930214,    3,    0
  7012,142184,19930215,   10,    0
  7012,142184,19930216,    9,    0
  7012,142184,19930217,  -20,    0
  7012,142184,19930218,  -34,    0
  7012,142184,19930219,  -25,    0
  7012,142184,19930220,  -78,    0
  7012,142184,19930221, -117,    0
  7012,142184,19930222,  -80,    0
  7012,142184,19930223,  -34,    0
  7012,142184,19930224,  -14,    0
  7012,142184,19930225,  -19,    0
  7012,142184,19930226,  -41,    0
  7012,142184,19930227,  -36,    0
  7012,142184,19930228,  -43,    0
  7012,142184,19930301,  -51,    0
  7012,142184,19930302,  -39,    0
  7012,142184,19930303,  -16,    0
  7012,142184,19930304,  -29,    0
  7012,142184,19930305,  -27,    0
  7012,142184,19930306,  -30,    0
  7012,142184,19930307,  -19,    0
  7012,142184,19930308,  -25,    0
  7012,142184,19930309,    1,    0
  7012,142184,19930310,   -7,    0
  7012,142184,19930311,  -31,    0
  7012,142184,19930312,  -39,    0
  7012,142184,19930313,    1,    0
  7012,142184,19930314,    7,    0
  7012,142184,19930315,    8,    0
  7012,142184,19930316,-9999,    9
  7012,142184,19930317,    5,    0
  7012,142184,19930318,   10,    0
  7012,142184,19930319,   10,    0
  7012,142184,19930320,   11,    0
  7012,142184,19930321,   12,    0
  7012,142184,19930322,   24,    0
  7012,142184,19930323,-9999,    9
  7012,142184,19930324,    9,    0
  7012,142184,19930325,    2,    0
  7012,142184,19930326,    8,    0
  7012,142184,19930327,   -2,    0
  7012,142184,19930328,   -8,    0
  7012,142184,19930329,    3,    0
  7012,142184,19930330,    8,    0
  7012,142184,19930331,   13,    0
  7012,142184,19930401,   11,    0
  7012,142184,19930402,    8,    0
  7012,142184,19930403,   18,    0
  7012,142184,19930404,   10,    0
  7012,142184,19930405,    3,    0
  7012,142184,19930406,   11,    0
  7012,142184,19930407,   13,    0
  7012,142184,19930408,   -1,    0
  7012,142184,19930409,  -18,    0
  7012,142184,19930410,    4,    0
  7012,142184,19930411,   14,    0
  7012,142184,19930412,   -2,    0
  7012,142184,19930413,   17,    0
  7012,142184,19930414,    8,    0
  7012,142184,19930415,-9999,    9
  7012,142184,19930416,    5,    0
  7012,142184,19930417,   23,    0
